loan_id,transaction_name,esma_transaction_identifier,reporting_date,closing_date,originator_name,servicer_name,currency,country,origination_year,maturity_date_proxy,original_balance,current_balance,repayment_type,interest_only_flag,current_interest_rate_pct,rate_type,remaining_interest_fixed_period_months,fixed_interest_period_end_in_months,seasoning_months,remaining_term_months,legal_maturity_months,loan_part_count,debtor_count,property_type,province,economic_region_nuts3,construction_year,occupancy,property_usage,employment_status,self_employed_flag,borrower_type,loan_purpose,buy_to_let_flag,nhg_flag,guarantee_type,oltomv_original,cltomv_current,cltimv_current,original_market_value_at_origination,current_original_market_value,indexed_market_value,property_valuation_type,loan_to_income,payment_due_to_income_pct,borrower_annual_income,scheduled_monthly_payment,arrears_bucket,arrears_amount,days_past_due,default_crr_flag,performing_status,foreclosure_flag,forbearance_flag,restructuring_flag,epc_label,epc_issue_year,primary_energy_demand_kwh_m2,construction_deposit_flag,construction_deposit_pct,construction_deposit_amount,interest_payment_frequency,principal_payment_frequency,balance_bucket,cltomv_current_bucket,cltimv_current_bucket,oltomv_original_bucket,loan_to_income_bucket,payment_due_to_income_pct_bucket,construction_year_bucket
GL2026_000001,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2021,2046-04-28,480841.19,410793.77,Annuity,N,2.00,Fixed,94,94,57,244,301,1,2,House,Utrecht,NL350,1995,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,93.87,41.25,25.63,512241.60,995863.68,1602784.90,Indexed/Origination Proxy,4.41,23.51,93150.51,1824.97,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2026,142,N,0.00,0.00,Monthly,Monthly,500k-550k,20-30,40-50,90-100,4.0-4.5,20-25,1990-2000
GL2026_000002,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2048-01-28,214277.94,198493.25,Annuity,N,3.27,Fixed,40,40,34,265,299,2,2,House,Zuid-Holland,NL365,2021,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,86.44,62.95,31.31,247892.11,315318.90,633961.19,Indexed/Origination Proxy,0.75,18.95,264657.67,4179.39,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2023,4,N,0.00,0.00,Monthly,Monthly,250k-300k,60-70,30-40,10-20,0.5-1.0,15-20,2021-2022
GL2026_000003,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2046-04-28,455066.77,380111.51,Annuity,N,2.81,Fixed,195,195,22,244,266,2,2,Apartment,Zeeland,NL341,2004,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,Y,NHG,94.64,81.86,11.61,480839.78,464343.40,3274000.95,Indexed/Origination Proxy,3.41,26.44,111469.65,2456.05,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2026,14,N,0.00,0.00,Monthly,Monthly,450k-500k,40-50,10-20,50-60,3.0-3.5,25-30,2000-2005
GL2026_000004,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2043-12-28,354589.90,299056.54,Annuity,N,4.06,Fixed,55,55,23,204,227,1,2,Apartment,Noord-Holland,NL328,2010,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,Y,NHG,98.40,81.86,45.27,360355.59,365326.83,660606.45,Indexed/Origination Proxy,4.78,9.53,62564.13,496.86,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2025,132,N,0.00,0.00,Monthly,Monthly,350k-400k,60-70,40-50,10-20,4.5-5.0,5-10,2010-2015
GL2026_000005,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2047-02-28,389804.12,351082.04,Annuity,N,3.47,Fixed,198,198,12,254,266,2,2,House,Zuid-Holland,NL365,2003,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,37.72,30.11,15.99,1033414.95,1165998.14,2195635.02,Indexed/Origination Proxy,3.85,22.35,91190.14,1698.42,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2026,123,N,0.00,0.00,Monthly,Monthly,450k-500k,30-40,10-20,30-40,3.5-4.0,20-25,2000-2005
GL2026_000006,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2046-05-28,474641.22,402803.88,Annuity,N,1.92,Fixed,175,175,55,245,300,2,2,Apartment,Flevoland,NL230,1958,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,83.76,44.33,15.66,566668.12,908648.50,2572183.14,Indexed/Origination Proxy,5.12,24.54,78672.63,1608.86,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2023,77,N,0.00,0.00,Monthly,Monthly,500k-550k,10-20,40-50,80-90,5.0-5.5,20-25,1950-1960
GL2026_000007,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2050-05-28,257953.52,243493.16,Annuity,N,3.80,Fixed,86,86,34,293,327,3,2,Apartment,Noord-Holland,NL328,2024,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,82.78,72.93,66.09,311613.34,333872.43,368426.63,Indexed/Origination Proxy,3.03,9.61,80360.78,643.56,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2022,107,N,0.00,0.00,Monthly,Monthly,300k-350k,60-70,70-80,80-90,3.0-3.5,5-10,2024-2025
GL2026_000008,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2017,2048-10-28,127626.17,118815.11,Annuity,N,2.53,Fixed,87,87,117,274,360,1,2,Apartment,Zuid-Holland,NL364,1989,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,82.67,74.68,60.81,154380.27,159098.97,195387.45,Indexed/Origination Proxy,4.86,13.82,24447.55,281.55,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2025,113,N,0.00,0.00,Monthly,Monthly,150k-200k,60-70,70-80,50-60,4.5-5.0,10-15,1980-1990
GL2026_000009,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2049-01-28,330407.76,321970.35,Annuity,N,3.05,Fixed,51,51,50,277,327,1,2,Apartment,Noord-Brabant,NL411,1976,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,Y,NHG,97.12,75.96,43.99,340205.68,423868.29,731917.14,Indexed/Origination Proxy,1.10,14.76,292700.32,3600.21,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2025,62,N,0.00,0.00,Monthly,Monthly,400k-450k,60-70,40-50,30-40,1.0-1.5,10-15,1970-1980
GL2026_000010,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2049-02-28,244175.53,207269.52,Annuity,N,2.41,Fixed,35,35,51,278,329,1,2,House,Noord-Holland,NL328,1999,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,92.70,45.48,15.71,263404.02,455737.73,1319347.68,Indexed/Origination Proxy,3.56,29.47,58221.78,1429.83,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2021,18,N,0.00,0.00,Monthly,Monthly,250k-300k,40-50,10-20,90-100,3.5-4.0,25-30,1990-2000
